Demo Event 25584 | Generated for testing | Workshop | true | false | true | 54 | 22 | 38 | 64 | - | - | 48 | 2026-06-10 | 17:15 | company_25561@gmail.com | Company_25560 | 791343892 | 290735093 | PENDING | - | Hall 11 | 221 | 2026-05-23
Demo Event 25585 | Generated for testing | Conference | false | true | false | 188 | 168 | - | - | 212 | 71 | 0 | 2026-07-18 | 13:30 | company_25581@gmail.com | Company_25580 | 267346544 | 495781729 | REJECTED | s | Hall 1 | 327 | -
Demo Event 25586 | Generated for testing | Workshop | false | true | false | 81 | 19 | - | - | 370 | 45 | 0 | 2026-06-13 | 10:00 | company_25567@gmail.com | Company_25566 | 75206148 | 33232157 | APPROVED | - | Hall 3 | 227 | -
Demo Event 25587 | Generated for testing | Conference | true | true | true | 109 | 169 | 39 | 86 | 334 | 32 | 10 | 2026-03-22 | 19:00 | company_25581@gmail.com | Company_25580 | 267346544 | 255789018 | REJECTED | Incomplete info | Hall 7 | 234 | 2026-03-21
Demo Event 25588 | Generated for testing | Conference | false | true | true | 150 | 65 | - | - | 124 | 72 | 14 | 2026-04-09 | 08:00 | company_25567@gmail.com | Company_25566 | 75206148 | 727302880 | PENDING | - | Hall 8 | 480 | -
Demo Event 25589 | Generated for testing | Workshop | false | false | false | 46 | 29 | - | - | - | - | 0 | 2026-05-04 | 19:30 | company_25567@gmail.com | Company_25566 | 75206148 | 443352152 | REJECTED | Incomplete info | Hall 8 | 312 | -
Demo Event 25590 | Generated for testing | Workshop | false | false | false | 103 | 101 | - | - | - | - | 0 | 2026-04-14 | 19:00 | company_25565@gmail.com | Company_25564 | 597781525 | 346122249 | REJECTED | Incomplete info | Hall 12 | 252 | -
Demo Event 25591 | Generated for testing | Conference | false | true | true | 76 | 37 | - | - | 364 | 10 | 26 | 2026-05-18 | 10:00 | company_25581@gmail.com | Company_25580 | 267346544 | 558879299 | APPROVED | - | Hall 1 | 102 | -
Demo Event 25592 | Generated for testing | Concert | true | false | false | 36 | 208 | 122 | 86 | - | - | 0 | 2026-05-13 | 11:00 | company@gmail.com | Company_85854 | 35376259 | 705753542 | APPROVED | - | Hall 9 | 419 | 2026-04-22
Demo Event 25593 | Generated for testing | Conference | true | true | true | 52 | 72 | 79 | 24 | 287 | 69 | 11 | 2026-04-10 | 12:45 | company_25561@gmail.com | Company_25560 | 791343892 | 668005998 | APPROVED | - | Hall 11 | 160 | 2026-03-24
Demo Event 25594 | Generated for testing | Workshop | false | false | false | 131 | 81 | - | - | - | - | 0 | 2026-05-09 | 16:30 | company_25561@gmail.com | Company_25560 | 791343892 | 525630931 | REJECTED | Incomplete info | Hall 6 | 342 | -
Demo Event 25595 | Generated for testing | Workshop | false | false | true | 173 | 169 | - | - | - | - | 10 | 2026-07-10 | 11:15 | company_25563@gmail.com | Company_25562 | 811203047 | 755605555 | PENDING | - | Hall 5 | 148 | -
Demo Event 25596 | Generated for testing | Workshop | true | false | true | 155 | 115 | 33 | 54 | - | - | 16 | 2026-06-26 | 08:45 | company_25581@gmail.com | Company_25580 | 267346544 | 504646666 | PENDING | - | Hall 3 | 224 | 2026-06-08
Demo Event 25597 | Generated for testing | Conference | true | true | false | 91 | 112 | 23 | 14 | 123 | 75 | 0 | 2026-06-10 | 10:45 | company_25563@gmail.com | Company_25562 | 811203047 | 364508658 | PENDING | - | Hall 4 | 348 | 2026-05-14
Demo Event 25598 | Generated for testing | Workshop | false | true | true | 50 | 202 | - | - | 177 | 39 | 7 | 2026-05-25 | 11:45 | company_25561@gmail.com | Company_25560 | 791343892 | 532162250 | APPROVED | - | Hall 2 | 291 | -
Demo Event 25599 | Generated for testing | Conference | true | false | true | 41 | 204 | 54 | 100 | - | - | 32 | 2026-06-22 | 17:00 | company@gmail.com | Company_85854 | 35376259 | 823443745 | PENDING | - | Hall 5 | 253 | 2026-06-04
Demo Event 25600 | Generated for testing | Concert | false | true | true | 147 | 89 | - | - | 156 | 56 | 5 | 2026-05-05 | 18:30 | company_25565@gmail.com | Company_25564 | 597781525 | 799113480 | APPROVED | - | Hall 5 | 293 | -
Demo Event 25601 | Generated for testing | Conference | false | false | false | 127 | 20 | - | - | - | - | 0 | 2026-07-14 | 08:30 | company@gmail.com | Company_85854 | 35376259 | 263456334 | PENDING | - | Hall 1 | 237 | -
Demo Event 25602 | Generated for testing | Concert | false | true | false | 62 | 117 | - | - | 295 | 68 | 0 | 2026-05-20 | 11:00 | company_25563@gmail.com | Company_25562 | 811203047 | 321668634 | APPROVED | - | Hall 7 | 209 | -
Demo Event 25603 | Generated for testing | Conference | false | true | true | 116 | 184 | - | - | 211 | 57 | 7 | 2026-04-14 | 16:00 | company_25567@gmail.com | Company_25566 | 75206148 | 195880396 | PENDING | - | Hall 5 | 340 | -
